Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
TPTA.S22IB,1972.12,25272,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1973.12,22982,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1974.12,27368,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1975.12,31120,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1976.12,33738,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1977.12,26329,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1978.12,25276,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1979.12,29000,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1980.12,29434,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1981.12,29982,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1982.12,25825,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1983.12,20977,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1984.12,27758,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1985.12,23280,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1986.12,17907,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1987.12,18566,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1988.12,17796,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1989.12,21496,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1990.12,19751,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1991.12,10523,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1992.12,7209,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1993.12,6674,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1994.12,6676,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1995.12,5246,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1996.12,3829,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1997.12,2680,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1998.12,2685,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,1999.12,3949,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2000.12,4120,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2001.12,4070,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2002.12,4459,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2003.12,5790,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2004.12,5786,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2005.12,6869,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2006.12,7020,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2007.12,7219,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2008.12,7417,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2009.12,7844,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2010.12,8404,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2011.12,9304,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
TPTA.S22IB,2012.12,9842,,F,NUMBER,0,Transport - TPT,New and Ex-Oseas Motor Vehicles Registered by Type,New Cars&Station Wagons 851 to 1300 cc,,,,
